datetime,power_consumption
2023-03-01 00:00:00,6.980809098179977
2023-03-01 00:01:00,-2.6523862603048483
2023-03-01 00:02:00,2.0131829733627598
2023-03-01 00:03:00,3.284020527893194
2023-03-01 00:04:00,-0.09297806194571478
2023-03-01 00:05:00,3.5844654702436216
2023-03-01 00:06:00,5.127969144347501
2023-03-01 00:07:00,-4.010843212157711
2023-03-01 00:08:00,-1.4401244923919707
2023-03-01 00:09:00,-3.461134560488625
2023-03-01 00:10:00,5.189296950532055
2023-03-01 00:11:00,0.6950584468061738
2023-03-01 00:12:00,4.018988626055533
2023-03-01 00:13:00,-3.6543686445551855
2023-03-01 00:14:00,1.5386418662355315
2023-03-01 00:15:00,7.735839560705401
2023-03-01 00:16:00,6.5143166882512205
2023-03-01 00:17:00,1.4201926823418205
2023-03-01 00:18:00,-3.464354746433456
2023-03-01 00:19:00,2.6421919979819943
2023-03-01 00:20:00,0.9879023971764553
2023-03-01 00:21:00,-2.4222606684011017
2023-03-01 00:22:00,8.025464825596293
2023-03-01 00:23:00,-0.9380078326295092
2023-03-01 00:24:00,-3.51459096665398
2023-03-01 00:25:00,-3.7459031466354498
2023-03-01 00:26:00,8.248362192839963
2023-03-01 00:27:00,9.15655569196365
2023-03-01 00:28:00,-2.0929152535671007
2023-03-01 00:29:00,-3.8985144644728242
2023-03-01 00:30:00,9.551020998211209
2023-03-01 00:31:00,-1.3700126180065597
2023-03-01 00:32:00,4.906607311746361
2023-03-01 00:33:00,5.144875382212412
2023-03-01 00:34:00,9.960024733802788
2023-03-01 00:35:00,-0.48353677731141076
2023-03-01 00:36:00,-4.897351490580996
2023-03-01 00:37:00,5.366741455889633
2023-03-01 00:38:00,-0.5961934699512463
2023-03-01 00:39:00,-3.754944115156466
2023-03-01 00:40:00,0.6513281433023375
2023-03-01 00:41:00,7.748772092180104
2023-03-01 00:42:00,-3.540381194811146
2023-03-01 00:43:00,-0.7594050385567037
2023-03-01 00:44:00,2.5749295326030204
2023-03-01 00:45:00,7.222147792114853
2023-03-01 00:46:00,2.0663944651459953
