0,1,2
13.585691,8.181529,8.870942
11.227598,7.5390396,-13.343603
12.3635025,7.63277,6.488823
16.625046,7.978859,0.7290487
14.410304,8.167904,3.3602805
14.017777,8.4864025,3.6798513
15.795723,8.847273,4.7287927
14.203517,9.200632,5.769452
14.433992,9.559843,6.865024
14.18653,9.912455,7.962589
13.255893,10.256366,9.059315
12.96765,10.570529,10.19923
12.696674,10.853151,11.354454
13.64751,11.085199,12.548699
14.398723,11.293791,13.706697
15.109769,11.475788,14.820296
15.415341,11.640217,15.870785
15.885229,11.773013,16.883236
16.29465,11.881733,17.85256
16.418692,11.97272,18.781467
16.650072,12.035659,19.700512
16.560469,12.083639,20.59635
16.38131,12.1051855,21.496876
16.058798,12.104458,22.434181
15.770622,12.082636,23.439112
15.286428,12.062397,24.488836
15.103662,12.039187,25.542997
15.21856,12.027858,26.535545
15.550035,12.0329075,27.444096
15.922554,12.049971,28.309378
16.196114,12.066801,29.191145
16.446093,12.067255,30.120749
16.430515,12.058443,31.060236
16.496218,12.029233,32.002026
16.322134,12.002477,32.89376
16.210518,11.972216,33.77205
16.006634,11.953295,34.63321
15.943363,11.941432,35.523006
15.747966,11.947599,36.431328
15.596307,11.961368,37.39375
15.469874,11.977357,38.39938
15.451109,11.986009,39.44531
15.303795,11.986259,40.50042
15.0502405,11.9729805,41.565575
14.926429,11.940639,42.64179
14.670069,11.896636,43.700184
14.561021,11.843182,44.763603
14.567339,11.784087,45.818577
14.361928,11.728266,46.853462
14.178353,11.674674,47.878098
14.109156,11.617578,48.877274
14.15037,11.554824,49.827515
14.329649,11.481935,50.69916
14.249716,11.395505,51.452034
13.727304,11.289784,52.056587
13.704154,11.145381,52.553497
14.11805,10.947259,53.14832
14.352895,10.637593,54.439796
14.336508,9.981699,56.95236
15.221589,8.965932,49.951244
14.693256,8.94409,9.332416
13.595208,8.293071,-13.424484
14.84291,8.565408,6.453199
16.660242,8.957987,0.62999105
14.055179,9.108901,3.3043232
14.309306,9.415531,3.6322918
13.815447,9.782674,4.707529
13.351243,10.145189,5.768608
12.671886,10.512981,6.8629637
12.644573,10.875323,7.969919
12.369045,11.22339,9.088774
12.876617,11.537319,10.248816
13.581283,11.816869,11.424603
13.728388,12.071539,12.5714855
14.310155,12.287377,13.715092
14.961573,12.475717,14.823961
15.316705,12.643396,15.86919
15.51783,12.786635,16.860619
15.549922,12.907007,17.808426
15.931474,12.992494,18.746887
16.43671,13.052268,19.66877
16.456059,13.101859,20.554832
16.731077,13.1126375,21.458965
16.72167,13.107536,22.392622
16.21595,13.097981,23.377222
15.64946,13.079348,24.422935
15.71158,13.044476,25.489729
15.736518,13.035131,26.477919
15.99432,13.038386,27.380787
16.29167,13.052898,28.242077
16.57736,13.063589,29.124897
16.85065,13.059124,30.054594
16.945684,13.043723,30.99816
17.078342,13.012523,31.936794
16.970238,12.984821,32.827477
16.915775,12.955323,33.704765
16.709532,12.939593,34.5644
16.635994,12.931235,35.45721
16.72385,12.932571,36.389244
16.869274,12.944112,37.36111
16.810358,12.965071,38.362217
16.592505,12.983869,39.399895
16.197273,12.991792,40.457954
15.722219,12.981864,41.52922
15.5576725,12.947268,42.617348
15.373358,12.897778,43.68425
15.045919,12.843375,44.736996
14.885254,12.783986,45.791893
14.64282,12.723984,46.83099
14.396849,12.666474,47.856762
13.985549,12.608803,48.85152
13.932981,12.543832,49.806076
13.6790495,12.46764,50.679817
13.4350605,12.376732,51.437126
13.345026,12.259172,52.05996
13.652226,12.10626,52.57556
13.611761,11.908324,53.170444
12.729415,11.593374,54.443974
12.002938,10.88174,56.870056
12.683338,9.721716,48.882977
16.045382,9.5267105,7.4112535
12.954377,8.885831,-13.701922
14.543614,9.404883,6.485345
16.246851,9.875078,0.49975806
15.693082,9.999601,3.2542176
16.558674,10.309184,3.6080055
15.099112,10.684547,4.718921
13.7694435,11.0608,5.78831
13.422049,11.439236,6.900861
12.969256,11.813337,8.007668
12.313059,12.175341,9.121073
12.612652,12.501734,10.279033
13.441196,12.7885275,11.460769
13.352044,13.055173,12.598035
14.064742,13.274797,13.743296
14.06257,13.482223,14.82258
14.015025,13.66053,15.853413
14.1167755,13.808576,16.84505
14.536305,13.922753,17.804464
15.403242,14.001513,18.744558
16.04371,14.064999,19.64528
16.387724,14.110605,20.519556
17.068018,14.115434,21.414068
16.866903,14.123446,22.315527
16.872293,14.096976,23.300943
16.689066,14.068886,24.3489
16.585209,14.042707,25.402147
16.598211,14.0305,26.392126
16.852108,14.030224,27.297777
17.080002,14.0436735,28.153275
17.475462,14.046985,29.036327
17.487934,14.051231,29.946905
17.653843,14.029146,30.902664
17.417223,14.009614,31.82265
17.08043,13.983805,32.72178
16.734118,13.958109,33.600258
16.327051,13.942031,34.47029
16.150717,13.931233,35.374443
16.104794,13.93277,36.311546
16.234245,13.942809,37.296772
16.28173,13.9614315,38.31289
16.35703,13.976081,39.36828
16.193043,13.983399,40.43077
15.964286,13.974038,41.507153
15.716041,13.944997,42.581604
15.556699,13.898272,43.651623
15.546576,13.839052,44.714138
15.309753,13.778147,45.755497
15.101588,13.718509,46.793877
14.633541,13.660146,47.812588
14.064897,13.602402,48.80742
13.438056,13.537522,49.75804
13.362892,13.456104,50.642834
13.407518,13.355293,51.42307
13.753125,13.231904,52.063656
13.467208,13.082449,52.581547
13.046432,12.878556,53.153324
12.958164,12.533441,54.421753
12.875379,11.779107,56.809483
13.53401,10.520411,48.273716
14.86583,10.198035,6.4717
11.75915,9.497602,-13.942746
88.36855,10.178467,5.6365533
102.16779,11.244606,0.42057663
107.01306,11.188344,3.3722231
100.59974,11.482731,3.747994
95.45559,11.904034,4.869169
95.69952,12.363508,6.050309
95.19712,12.74051,7.251612
97.07332,13.135011,8.480546
103.504364,13.537554,9.836453
