,temperature
2023-01-01 00:00:00,26.764052345967663
2023-01-01 00:01:00,27.924607683976564
2023-01-01 00:02:00,28.706572462149563
2023-01-01 00:03:00,27.664046969149176
2023-01-01 00:04:00,24.596968942083922
2023-01-01 00:05:00,21.146047811497752
2023-01-01 00:06:00,25.112242011226723
2023-01-01 00:07:00,26.81996905072717
2023-01-01 00:08:00,27.864775001958478
2023-01-01 00:09:00,26.646384461240046
2023-01-01 00:10:00,23.511397580175643
2023-01-01 00:11:00,23.454306365388526
2023-01-01 00:12:00,24.152022261153565
2023-01-01 00:13:00,26.382995311637252
2023-01-01 00:14:00,28.415818085803664
2023-01-01 00:15:00,27.283746370360426
2023-01-01 00:16:00,25.629305091707874
2023-01-01 00:17:00,21.910324630805526
2023-01-01 00:18:00,23.060931571882765
2023-01-01 00:19:00,24.596840417169403
2023-01-01 00:20:00,25.18641243656283
2023-01-01 00:21:00,28.162786424180297
2023-01-01 00:22:00,25.836354521203937
2023-01-01 00:23:00,21.718323054484813
2023-01-01 00:24:00,24.553726938577544
2023-01-01 00:25:00,23.150300019551608
2023-01-01 00:26:00,27.334601530138432
2023-01-01 00:27:00,27.68139560187459
2023-01-01 00:28:00,27.343624631738454
2023-01-01 00:29:00,24.47695102636309
2023-01-01 00:30:00,22.191174632773773
2023-01-01 00:31:00,24.168019178166098
2023-01-01 00:32:00,25.76834771465903
2023-01-01 00:33:00,26.01890781026478
2023-01-01 00:34:00,26.237331802541334
2023-01-01 00:35:00,23.86960485750893
2023-01-01 00:36:00,23.2546352369566
2023-01-01 00:37:00,24.27373289102666
2023-01-01 00:38:00,25.504298965976975
2023-01-01 00:39:00,27.589804404532156
2023-01-01 00:40:00,26.18493290975755
2023-01-01 00:41:00,23.101303031749108
2023-01-01 00:42:00,20.542999814497076
2023-01-01 00:43:00,24.457110071635363
2023-01-01 00:44:00,24.54650871298705
2023-01-01 00:45:00,27.116276555912794
2023-01-01 00:46:00,26.45118754898034
2023-01-01 00:47:00,26.14497055760552
2023-01-01 00:48:00,21.07920572780979
2023-01-01 00:49:00,21.92702647524615
2023-01-01 00:50:00,23.320760058232857
2023-01-01 00:51:00,27.400217147180832
2023-01-01 00:52:00,27.448486902860434
2023-01-01 00:53:00,25.00376250428239
2023-01-01 00:54:00,23.292341951775132
2023-01-01 00:55:00,22.429153295180605
2023-01-01 00:56:00,23.505183684868612
2023-01-01 00:57:00,26.614527078707958
2023-01-01 00:58:00,27.344773207956596
2023-01-01 00:59:00,26.544311714661035
2023-01-01 01:00:00,23.409140092927874
2023-01-01 01:01:00,21.741003045852427
2023-01-01 01:02:00,21.97221380054756
